Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Callebaut,65.0,65.0,70.0,60.0
Emerald Estate,65.0,65.0,70.0,60.0
Kakao,64.5,64.5,65.0,64.0
Nahua,64.0,64.0,70.0,58.0
Un Dimanche A Paris,63.0,63.0,63.0,63.0
A. Morin,63.0,63.0,63.0,63.0
Machu Picchu Trading Co.,62.5,62.5,70.0,55.0
Two Ravens,60.0,60.0,60.0,60.0
La Pepa de Oro,60.0,60.0,60.0,60.0
Valrhona,60.0,60.0,60.0,60.0
Kiskadee,60.0,60.0,60.0,60.0
